# kind	initial	vowel	kana
body	ㄱ	ㅏ	が
body	ㄱ	ㅑ	ぎゃ
body	ㄱ	ㅔ	げ
body	ㄱ	ㅗ	ご
body	ㄱ	ㅛ	ぎょ
body	ㄱ	ㅜ	ぐ
body	ㄱ	ㅠ	ぎゅ
body	ㄱ	ㅡ	ぐ
body	ㄱ	ㅣ	ぎ
body	ㄲ	ㅏ	か
body	ㄲ	ㅑ	きゃ
body	ㄲ	ㅔ	け
body	ㄲ	ㅗ	こ
body	ㄲ	ㅛ	きょ
body	ㄲ	ㅜ	く
body	ㄲ	ㅠ	きゅ
body	ㄲ	ㅡ	く
body	ㄲ	ㅣ	き
body	ㄴ	ㅏ	な
body	ㄴ	ㅑ	にゃ
body	ㄴ	ㅔ	ね
body	ㄴ	ㅗ	の
body	ㄴ	ㅛ	にょ
body	ㄴ	ㅜ	ぬ
body	ㄴ	ㅠ	にゅ
body	ㄴ	ㅡ	ぬ
body	ㄴ	ㅣ	に
body	ㄷ	ㅏ	だ
body	ㄷ	ㅔ	で
body	ㄷ	ㅗ	ど
body	ㄷ	ㅜ	どぅ
body	ㄷ	ㅡ	どぅ
body	ㄷ	ㅣ	でぃ
body	ㄸ	ㅏ	た
body	ㄸ	ㅔ	て
body	ㄸ	ㅗ	と
body	ㄸ	ㅡ	づ
body	ㄸ	ㅣ	ぢ
body	ㄹ	ㅏ	ら
body	ㄹ	ㅑ	りゃ
body	ㄹ	ㅔ	れ
body	ㄹ	ㅗ	ろ
body	ㄹ	ㅛ	りょ
body	ㄹ	ㅜ	る
body	ㄹ	ㅠ	りゅ
body	ㄹ	ㅡ	る
body	ㄹ	ㅣ	り
body	ㅁ	ㅏ	ま
body	ㅁ	ㅑ	みゃ
body	ㅁ	ㅔ	め
body	ㅁ	ㅗ	も
body	ㅁ	ㅛ	みょ
body	ㅁ	ㅜ	む
body	ㅁ	ㅠ	みゅ
body	ㅁ	ㅡ	む
body	ㅁ	ㅣ	み
body	ㅂ	ㅏ	ば
body	ㅂ	ㅑ	びゃ
body	ㅂ	ㅔ	べ
body	ㅂ	ㅗ	ぼ
body	ㅂ	ㅛ	びょ
body	ㅂ	ㅜ	ぶ
body	ㅂ	ㅠ	びゅ
body	ㅂ	ㅡ	ぶ
body	ㅂ	ㅣ	び
body	ㅃ	ㅏ	ぱ
body	ㅃ	ㅑ	ぴゃ
body	ㅃ	ㅔ	ぺ
body	ㅃ	ㅗ	ぽ
body	ㅃ	ㅛ	ぴょ
body	ㅃ	ㅜ	ぷ
body	ㅃ	ㅠ	ぴゅ
body	ㅃ	ㅡ	ぷ
body	ㅃ	ㅣ	ぴ
body	ㅅ	ㅏ	さ
body	ㅅ	ㅑ	しゃ
body	ㅅ	ㅔ	せ
body	ㅅ	ㅗ	そ
body	ㅅ	ㅛ	しょ
body	ㅅ	ㅜ	す
body	ㅅ	ㅠ	しゅ
body	ㅅ	ㅡ	す
body	ㅅ	ㅣ	し
body	ㅆ	ㅏ	さ
body	ㅆ	ㅔ	せ
body	ㅆ	ㅗ	そ
body	ㅆ	ㅡ	つ
body	ㅆ	ㅣ	し
body	ㅇ	ㅏ	あ
body	ㅇ	ㅑ	や
body	ㅇ	ㅔ	え
body	ㅇ	ㅗ	お
body	ㅇ	ㅘ	わ
body	ㅇ	ㅛ	よ
body	ㅇ	ㅜ	う
body	ㅇ	ㅝ	を
body	ㅇ	ㅞ	うぇ
body	ㅇ	ㅟ	うぃ
body	ㅇ	ㅠ	ゆ
body	ㅇ	ㅣ	い
body	ㅈ	ㅏ	ざ
body	ㅈ	ㅑ	じゃ
body	ㅈ	ㅔ	ぜ
body	ㅈ	ㅗ	ぞ
body	ㅈ	ㅛ	じょ
body	ㅈ	ㅜ	ず
body	ㅈ	ㅠ	じゅ
body	ㅈ	ㅡ	ず
body	ㅈ	ㅣ	じ
body	ㅉ	ㅏ	ちゃ
body	ㅉ	ㅛ	ちょ
body	ㅉ	ㅠ	ちゅ
body	ㅉ	ㅡ	つ
body	ㅉ	ㅣ	ち
body	ㅊ	ㅏ	ちゃ
body	ㅊ	ㅑ	ちゃ
body	ㅊ	ㅗ	ちょ
body	ㅊ	ㅛ	ちょ
body	ㅊ	ㅜ	ちゅ
body	ㅊ	ㅠ	ちゅ
body	ㅊ	ㅡ	つ
body	ㅊ	ㅣ	ち
body	ㅋ	ㅏ	か
body	ㅋ	ㅑ	きゃ
body	ㅋ	ㅔ	け
body	ㅋ	ㅗ	こ
body	ㅋ	ㅛ	きょ
body	ㅋ	ㅜ	く
body	ㅋ	ㅠ	きゅ
body	ㅋ	ㅡ	く
body	ㅋ	ㅣ	き
body	ㅌ	ㅏ	た
body	ㅌ	ㅔ	て
body	ㅌ	ㅗ	と
body	ㅌ	ㅜ	とぅ
body	ㅌ	ㅡ	とぅ
body	ㅌ	ㅣ	てぃ
body	ㅍ	ㅏ	ぱ
body	ㅍ	ㅑ	ぴゃ
body	ㅍ	ㅔ	ぺ
body	ㅍ	ㅗ	ぽ
body	ㅍ	ㅛ	ぴょ
body	ㅍ	ㅜ	ぷ
body	ㅍ	ㅠ	ぴゅ
body	ㅍ	ㅡ	ぷ
body	ㅍ	ㅣ	ぴ
body	ㅎ	ㅏ	は
body	ㅎ	ㅑ	ひゃ
body	ㅎ	ㅔ	へ
body	ㅎ	ㅗ	ほ
body	ㅎ	ㅘ	ふぁ
body	ㅎ	ㅛ	ひょ
body	ㅎ	ㅜ	ふ
body	ㅎ	ㅝ	ふぉ
body	ㅎ	ㅞ	ふぇ
body	ㅎ	ㅟ	ふぃ
body	ㅎ	ㅠ	ひゅ
body	ㅎ	ㅡ	ふ
body	ㅎ	ㅣ	ひ
final	ㄱ		っ
final	ㄴ		ん
final	ㄷ		っ
final	ㅁ		ん
final	ㅂ		っ
final	ㅅ		っ
final	ㅇ		ん
